,호선,역명,전화번호,우편번호,주소,구별,lat,lng
354,7,남성,02-6311-7371,156-090,서울특별시 동작구 사당로 지하218,동작구,37.484876,126.970673
355,7,숭실대입구,02-6311-7381,156-830,서울특별시 동작구 상도로 지하378,동작구,37.496374,126.953504
356,7,상도,02-6311-7391,156-871,서울특별시 동작구 상도로 지하272,동작구,37.503072,126.947753
357,7,장승배기,02-6311-7401,156-831,서울특별시 동작구 상도로 지하188,동작구,37.504905,126.939191
358,7,신대방삼거리,02-6311-7411,156-811,서울특별시 동작구 상도로 지하76,동작구,37.499717,126.928189
359,7,보라매,02-6311-7421,156-811,서울특별시 동작구 상도로 지하2,동작구,37.499929,126.920282
360,7,신풍,02-6311-7431,150-858,서울특별시 영등포구 신풍로 지하27,영등포구,37.50013,126.908969
361,7,대림,02-6311-7441,150-825,서울특별시 영등포구 도림로 지하137,영등포구,37.4930835,126.8957865
362,7,남구로,02-6311-7451,152-875,서울특별시 구로구 도림로 지하7,구로구,37.486087,126.887272
363,7,가산디지털단지,02-6311-7461,153-803,서울특별시 금천구 벚꽃로 309,금천구,37.48089,126.8825735
366,7,천왕,02-6311-7491,152-897,서울특별시 구로구 오리로 지하1154,구로구,37.486686,126.838681
367,7,온수,02-6311-7501,152-906,서울특별시 구로구 경인로3길 지하64,구로구,37.4921505,126.8236345
377,7,군자,02-457-0561,143-847,서울특별시 광진구 천호대로 지하550,광진구,37.5573355,127.079589
378,8,암사,02-6311-8101,134-877,서울특별시 강동구 올림픽로 지하776,강동구,37.558248,127.1304539
379,8,강동구청,02-6311-8121,134-840,서울특별시 강동구 올림픽로 지하550,강동구,37.53051,127.120535
380,8,몽촌토성,02-6311-8131,138-240,서울특별시 송파구 올림픽로 지하383,송파구,37.517641,127.11274
381,8,잠실,02-6311-8141,138-240,서울특별시 송파구 올림픽로 305,송파구,37.5132612,127.1001336
382,8,석촌,02-6311-8151,138-090,서울특별시 송파구 송파대로 지하439,송파구,37.5057138,127.1070689
383,8,송파,02-6311-8161,138-160,서울특별시 송파구 가락동 459-4,송파구,37.499739,127.112201
384,8,가락시장,02-6311-8171,138-812,서울특별시 송파구 송파대로 지하257,송파구,37.4923175,127.118104
385,8,문정,02-6311-8181,138-200,서울특별시 송파구 송파대로 지하179,송파구,37.4851331,127.1238462
386,8,장지,02-6311-8191,138-871,서울특별시 송파구 송파대로 지하82,송파구,37.477699,127.126274
387,8,복정,02-6311-8201,138-871,서울특별시 송파구 송파대로 지하6,송파구,37.470375,127.126685
394,8,천호,02-487-0949,134-840,서울특별시 강동구 천호대로 지하997,강동구,37.5439937,127.1256452
395,9,개화,02-2656-0901,157-230,서울특별시 강서구 개화동로 8길 19,강서구,37.578576,126.797391
396,9,김포공항,02-2656-0902,157-220,서울특별시 강서구 하늘길 지하77,강서구,37.5618288,126.8019274
397,9,공항시장,02-2656-0903,157-240,서울특별시 강서구 방화동로 지하30,강서구,37.5623155,126.8086965
398,9,신방화,02-2656-0904,157-846,서울특별시 강서구 방화대로 지하301,강서구,37.5669745,126.8168126
399,9,마곡나루,02-2656-0905,157-210,서울특별시 강서구 마곡중앙5로 지하2,강서구,37.566876,126.8271565
400,9,양천향교,02-2656-0906,157-801,서울특별시 강서구 양천로 지하341,강서구,37.568105,126.841909
401,9,가양,02-2656-0907,157-800,서울특별시 강서구 양천로 지하485,강서구,37.561553,126.854244
402,9,증미,02-2656-0908,157-930,서울특별시 강서구 양천로 지하560,강서구,37.55812900000001,126.860606
403,9,등촌,02-2656-0909,157-930,서울특별시 강서구 공항대로 지하529,강서구,37.551303,126.8645185
404,9,염창,02-2656-0910,157-864,서울특별시 강서구 공항대로 지하631,강서구,37.546965,126.874839
405,9,신목동,02-2656-0911,158-050,서울특별시 양천구 목동중앙로 지하217,양천구,37.544267,126.883077
406,9,선유도,02-2656-0912,150-105,서울특별시 영등포구 양평로 지하124,영등포구,37.537855,126.89391
407,9,당산,02-2656-0913,150-809,서울특별시 영등포구 당산로 229,영등포구,37.5340278,126.9019901
408,9,국회의사당,02-2656-0914,150-010,서울특별시 영등포구 국회대로 지하758,영등포구,37.528128,126.917853
409,9,여의도,02-2656-0915,150-010,서울특별시 영등포구 의사당대로 지하101,영등포구,37.5215695,126.9243115
410,9,샛강,02-2656-0916,150-913,서울특별시 영등포구 의사당대로 지하166,영등포구,37.516737,126.928873
411,9,노량진(9호선),02-2656-0917,156-800,서울특별시 동작구 노량진로 지하130,동작구,37.5128129,126.9531293
412,9,노들,02-2656-0918,156-060,서울특별시 동작구 노량진로 지하238,동작구,37.513416,126.952213
413,9,흑석,02-2656-0919,156-877,서울특별시 동작구 현충로 지하90,동작구,37.5090394,126.9634769
414,9,동작,02-2656-0920,156-080,서울특별시 동작구 현충로 지하220,동작구,37.503062,126.9790995
415,9,구반포,02-2656-0921,137-040,서울특별시 서초구 신반포로 지하17,서초구,37.501431,126.987427
416,9,신반포,02-2656-0922,137-040,서울특별시 서초구 신반포로 지하105,서초구,37.503487,126.996017
417,9,고속터미널,02-2656-0923,137-713,서울특별시 서초구 신반포로 지하188,서초구,37.5049142,127.0049151
418,9,사평,02-2656-0924,137-040,서울특별시 서초구 사평대로 지하285,서초구,37.504448,127.014759
419,9,신논현,02-2656-0925,135-080,서울특별시 강남구 봉은사로 지하102,강남구,37.504724,127.02538
420,공항철도,공덕,02-392-7788,121-812,서울특별시 마포구 마포대로 지하92,마포구,37.54322,126.951576
421,공항철도,서울(공항철도),032-745-7400,140-821,서울특별시 용산구 청파로 378,용산구,37.553083,126.968872
422,공항철도,홍대입구,032-745-7420,121-899,서울특별시 마포구 양화로 지하188,마포구,37.557527,126.9244669
423,공항철도,디지털미디어시티,032-745-7430,121-835,서울특별시 마포구 성암로 196,마포구,37.5779636,126.9004205
424,공항철도,김포공항,032-745-7440,157-220,서울특별시 강서구 하늘길 지하77,강서구,37.5618288,126.8019274
431,분당선,수서,02-2226-6881,135-885,서울특별시 강남구 광평로 지하270,강남구,37.4874685,127.1013245
432,분당선,왕십리,02-2291-7787,133-866,서울특별시 성동구 완십리광장로 17,성동구,37.5611284,127.035505
433,분당선,개포동,02-3412-4418,135-240,서울특별시 강남구 개포로 지하420,강남구,37.48916699999999,127.066502
434,분당선,대모산입구,02-3412-9471,135-230,서울특별시 강남구 개포로 지하522,강남구,37.491347,127.072702
435,분당선,복정,02-449-8264,138-871,서울특별시 송파구 송파대로 지하6,송파구,37.470375,127.126685
437,분당선,서울숲,02-519-5560,133-821,서울특별시 성동구 왕십리로 지하77,성동구,37.5431275,127.0445665
438,분당선,강남구청,02-519-5571,135-090,서울특별시 강남구 학동로 지하346,강남구,37.517473,127.0411685
439,분당선,선릉,02-568-7715,135-090,서울특별시 강남구 테헤란로 지하340,강남구,37.504479,127.048941
440,분당선,한티,02-569-9704,135-280,서울특별시 강남구 선릉로 지하228,강남구,37.496208,127.052883
441,분당선,도곡,02-576-2706,135-270,서울특별시 강남구 남부순환로 지하2814,강남구,37.49106,127.0556945
442,분당선,구룡,02-579-7760,135-800,서울특별시 강남구 개포로 지하403,강남구,37.486985,127.059496
461,분당선,선정릉,1544-7788,135-090,서울특별시 강남구 선릉로 지하580,강남구,37.5102747,127.0438167
464,분당선,압구정로데오,1544-7788,135-906,서울특별시 강남구 압구정로 지하402,강남구,37.527385,127.040555
467,경춘선,상봉,02-432-7783,131-857,서울특별시 중랑구 망우로 297,중랑구,37.595627,127.085739
468,경춘선,망우,02-432-7788,131-856,서울특별시 중랑구 망우로 55길 11-10,중랑구,37.598603,127.092882
469,경춘선,광운대,02-917-7445,139-917,서울특별시 노원구 석계로 98-2,노원구,37.6237325,127.061817
487,경춘선,신내,1544-7788,131-800,서울특별시 중랑구 신내역로 20,중랑구,37.6126681,127.1032958
518,중앙선,왕십리,02-2291-7787,133-866,서울특별시 성동구 왕십리광장로 17,성동구,37.5611284,127.035505
519,중앙선,응봉,02-2295-6319,133-852,서울특별시 성동구 고산자로 123,성동구,37.5504328,127.0348241
520,중앙선,옥수,02-297-0440,133-838,서울특별시 성동구 동호로 지하21,성동구,37.540514,127.018698
521,중앙선,청량리,02-3299-7290,130-851,서울특별시 동대문구 왕산로 214,동대문구,37.581381,127.048958
522,중앙선,용산,02-3780-5408,140-780,서울특별시 용산구 한강대로23길 55,용산구,37.52989,126.964775
523,중앙선,상봉,02-432-7783,131-857,서울특별시 중랑구 망우로 297,중랑구,37.595627,127.085739
524,중앙선,망우,02-432-7788,131-856,서울특별시 중랑구 망우로 55길 11-10,중랑구,37.598603,127.092882
525,중앙선,양원,02-435-7788,131-800,서울특별시 중랑구 송림길 147,중랑구,37.606639,127.108067
526,중앙선,중랑,02-436-7785,131-875,서울특별시 중랑구 중랑역로 9,중랑구,37.594948,127.076152
527,중앙선,서빙고,02-795-0778,140-240,서울특별시 용산구 서빙고로 238,용산구,37.51961,126.988358
528,중앙선,이촌,02-798-3071,140-030,서울특별시 용산구 이촌로71길 42,용산구,37.5224761,126.9738155
529,중앙선,한남,02-798-5710,140-888,서울특별시 용산구 독서당로6길 12-13,용산구,37.52936100000001,127.008984
530,중앙선,회기,02-965-1467,130-090,서울특별시 동대문구 회기로 196,동대문구,37.58975600000001,127.057977
546,경의선,공덕,02-1544-7788,121-812,서울특별시 마포구 마포대로 지하92,마포구,37.54322,126.951576
548,경의선,수색,02-300-5277,122-873,서울특별시 은평구 수색로 261-1,은평구,37.580855,126.895681
549,경의선,디지털미디어시티,02-305-1030,122-873,서울특별시 은평구 수색로 193,은평구,37.5779636,126.9004205
550,경의선,신촌(경의선),02-3149-2559,120-140,서울특별시 서대문구 신촌역로 30,서대문구,37.559768,126.942308
551,경의선,가좌,02-373-1280,120-805,서울특별시 서대문구 수색로 27,서대문구,37.56861,126.914841
552,경의선,홍대입구,02-3780-5331,121-899,서울특별시 마포구 양화로 지하188,마포구,37.557527,126.9244669
553,경의선,서울(경의선),02-752-4251,140-761,서울특별시 용산구 한강대로 405,용산구,37.5536067,126.9696195
568,경의선,서강대,1544-7788,121-807,서울특별시 마포구 서강로 지하118,마포구,37.552132,126.935389
569,신분당선,강남,031-8018-7710,135-080,서울특별시 강남구 강남대로 지하396,강남구,37.49794199999999,127.027621
570,신분당선,양재,031-8018-7720,137-863,서울특별시 서초구 남부순환로 지하2585,서초구,37.484102,127.034369
571,신분당선,양재시민의숲,031-8018-7730,137-893,서울특별시 서초구 매헌로 지하116,서초구,37.47000999999999,127.038334
572,신분당선,청계산입구,031-8018-7740,137-160,서울특별시 서초구 청계산로 지하179,서초구,37.448215,127.054726
